species	larva	segment	anterior	posterior	denticle.width
Dmel	135	A5	60.28	63.61	3.33
Dmel	135	A6	68.09	71.71	3.62
Dmel	135	A7	76.47	79.87	3.4
Dmel	135	A8	83.91	85.98	2.07
Dmel	136	A1	29.82	31.39	1.57
Dmel	136	A2	36.56	39.52	2.96
Dmel	136	A3	44.32	47.4	3.08
Dmel	136	A4	52.11	55.48	3.37
Dmel	136	A5	59.66	63.32	3.66
Dmel	136	A6	67.75	71.55	3.8
Dmel	136	A7	76.09	79.74	3.65
Dmel	136	A8	83.98	87.04	3.06
Dmel	137	A1	29.69	31.2	1.51
Dmel	137	A2	36.99	39.41	2.42
Dmel	137	A3	44.41	47.46	3.05
Dmel	137	A4	52.35	55.33	2.98
Dmel	137	A5	60.03	63.31	3.28
Dmel	137	A6	67.96	71.31	3.35
Dmel	137	A7	76.18	79.7	3.52
Dmel	137	A8	83.8	85.71	1.91
Dmel	138	A1	29.82	31.26	1.44
Dmel	138	A2	36.35	39.39	3.04
Dmel	138	A3	44.12	47.38	3.26
Dmel	138	A4	51.97	55.4	3.43
Dmel	138	A5	59.74	63.21	3.47
Dmel	138	A6	67.75	71.36	3.61
Dmel	138	A7	76.19	79.39	3.2
Dmel	138	A8	83.62	85.92	2.3
Dmel	139	A1	31.19	32.83	1.64
Dmel	139	A2	37.62	40.72	3.1
Dmel	139	A3	45.33	48.75	3.42
Dmel	139	A4	53.35	56.57	3.22
Dmel	139	A5	60.82	64.24	3.42
Dmel	139	A6	68.77	72.36	3.59
Dmel	139	A7	76.89	80.64	3.75
Dmel	139	A8	84.85	88.52	3.67
Dmel	140	A1	30.09	31.57	1.48
Dmel	140	A2	36.56	39.55	2.99
Dmel	140	A3	44.31	47.29	2.98
Dmel	140	A4	51.85	54.97	3.12
Dmel	140	A5	59.39	62.6	3.21
Dmel	140	A6	67.12	70.55	3.43
Dmel	140	A7	75.23	78.73	3.5
Dmel	140	A8	83.11	86.62	3.51
Dmel	141	A1	30.42	31.96	1.54
Dmel	141	A2	37.01	40.02	3.01
Dmel	141	A3	44.69	47.85	3.16
Dmel	141	A4	52.78	55.84	3.06
Dmel	141	A5	60.09	63.23	3.14
Dmel	141	A6	67.7	71.21	3.51
Dmel	141	A7	75.98	78.98	3
Dmel	141	A8	83.5	85.69	2.19
Dmel	142	A1	30.42	31.96	1.54
Dmel	142	A2	36.95	39.94	2.99
Dmel	142	A3	44.64	47.79	3.15
Dmel	142	A4	52.3	55.65	3.35
Dmel	142	A5	60.02	63.22	3.2
Dmel	142	A6	67.55	71.35	3.8
Dmel	142	A7	75.63	79.16	3.53
Dmel	142	A8	83.47	86.79	3.32
Dmel	143	A1	30.59	32.16	1.57
Dmel	143	A2	36.97	40.07	3.1
Dmel	143	A3	44.62	47.78	3.16
Dmel	143	A4	52.41	55.78	3.37
Dmel	143	A5	60.22	63.36	3.14
Dmel	143	A6	67.8	71.29	3.49
Dmel	143	A7	76.06	79.78	3.72
Dmel	143	A8	84.12	87.16	3.04
Dmel	144	A1	28.32	29.8	1.48
Dmel	144	A2	35.19	38.19	3
Dmel	144	A3	43.32	46.45	3.13
Dmel	144	A4	51.62	54.81	3.19
Dmel	144	A5	59.4	62.55	3.15
Dmel	144	A6	67.49	70.95	3.46
Dmel	144	A7	76.05	79.48	3.43
Dmel	144	A8	84.4	86.93	2.53
Dmel	145	A1	31.74	33.17	1.43
Dmel	145	A2	38.36	41.6	3.24
Dmel	145	A3	46.3	49.72	3.42
Dmel	145	A4	54.33	57.76	3.43
Dmel	145	A5	62.2	65.53	3.33
Dmel	145	A6	69.99	73.66	3.67
Dmel	145	A7	78.51	82.11	3.6
Dmel	145	A8	86.39	89.94	3.55
Dmoj	1	A1	30.74	32.08	1.34
Dmoj	1	A2	36.85	40.24	3.39
Dmoj	1	A3	44.45	47.34	2.89
Dmoj	1	A4	51.66	54.78	3.12
Dmoj	1	A5	58.73	61.88	3.15
Dmoj	1	A6	65.6	68.81	3.21
Dmoj	1	A7	72.89	76.13	3.24
Dmoj	1	A8	80.09	81.79	1.7
Dmoj	2	A1	30.79	32.31	1.52
Dmoj	2	A2	36.85	40.42	3.57
Dmoj	2	A3	44.63	47.96	3.33
Dmoj	2	A4	51.68	54.91	3.23
Dmoj	2	A5	58.82	61.97	3.15
Dmoj	2	A6	65.67	68.82	3.15
Dmoj	2	A7	72.52	75.64	3.12
Dmoj	2	A8	78.79	80.63	1.84
Dmoj	3	A1	31.56	32.75	1.19
Dmoj	3	A2	37.24	40.33	3.09
Dmoj	3	A3	44.54	47.55	3.01
Dmoj	3	A4	51.5	54.48	2.98
Dmoj	3	A5	58.3	61.29	2.99
Dmoj	3	A6	64.86	68.1	3.24
Dmoj	3	A7	71.53	74.73	3.2
Dmoj	3	A8	78.26	79.84	1.58
Dmoj	4	A1	32.14	33.43	1.29
Dmoj	4	A2	37.97	41.18	3.21
Dmoj	4	A3	45.51	48.53	3.02
Dmoj	4	A4	52.56	55.32	2.76
Dmoj	4	A5	59.14	62.12	2.98
Dmoj	4	A6	65.85	68.88	3.03
Dmoj	4	A7	72.82	75.18	2.36
Dmoj	4	A8	79.31	80.77	1.46
Dmoj	5	A1	29.52	30.63	1.11
Dmoj	5	A2	35.57	38.33	2.76
Dmoj	5	A3	42.74	45.39	2.65
Dmoj	5	A4	49.81	52.56	2.75
Dmoj	5	A5	56.84	59.94	3.1
Dmoj	5	A6	63.99	66.94	2.95
Dmoj	5	A7	71.35	74.18	2.83
Dmoj	5	A8	78.52	79.77	1.25
Dmoj	6	A1	30.26	31.37	1.11
Dmoj	6	A2	36.03	38.99	2.96
Dmoj	6	A3	43.36	46.39	3.03
Dmoj	6	A4	50.56	53.25	2.69
Dmoj	6	A5	57.63	60.35	2.72
Dmoj	6	A6	64.4	67.35	2.95
Dmoj	6	A7	71.49	74.73	3.24
Dmoj	6	A8	78.38	79.58	1.2
Dmoj	7	A1	30.75	31.76	1.01
Dmoj	7	A2	36.4	40.11	3.71
Dmoj	7	A3	43.94	46.82	2.88
Dmoj	7	A4	50.88	53.43	2.55
Dmoj	7	A5	57.46	60.71	3.25
Dmoj	7	A6	64.84	67.98	3.14
Dmoj	7	A7	71.83	74.22	2.39
Dmoj	7	A8	78.16	78.75	0.59
Dmoj	8	A1	30.08	31.42	1.34
Dmoj	8	A2	36.06	39.16	3.1
Dmoj	8	A3	43.59	46.39	2.8
Dmoj	8	A4	50.35	53.28	2.93
Dmoj	8	A5	57.15	60.03	2.88
Dmoj	8	A6	63.82	67.03	3.21
Dmoj	8	A7	71.15	74.26	3.11
Dmoj	8	A8	77.74	79.15	1.41
Dmoj	9	A1	30.46	31.39	0.93
Dmoj	9	A2	35.65	38.79	3.14
Dmoj	9	A3	42.9	45.88	2.98
Dmoj	9	A4	49.71	52.77	3.06
Dmoj	9	A5	56.54	59.4	2.86
Dmoj	9	A6	63.38	66.32	2.94
Dmoj	9	A7	70.31	73.66	3.35
Dmoj	9	A8	77.09	79.06	1.97
Dmoj	10	A1	31.59	32.68	1.09
Dmoj	10	A2	37.2	40.19	2.99
Dmoj	10	A3	44.23	47.08	2.85
Dmoj	10	A4	51	54.05	3.05
Dmoj	10	A5	57.78	60.63	2.85
Dmoj	10	A6	64.59	67.73	3.14
Dmoj	10	A7	71.74	74.97	3.23
Dmoj	10	A8	78.37	81.5	3.13
Dmoj	11	A1	31.28	32.55	1.27
Dmoj	11	A2	37.22	40.59	3.37
Dmoj	11	A3	44.75	47.36	2.61
Dmoj	11	A4	51.08	53.92	2.84
Dmoj	11	A5	57.68	60.49	2.81
Dmoj	11	A6	64.58	67.33	2.75
Dmoj	11	A7	71.3	74.5	3.2
Dmoj	11	A8	78.42	79.81	1.39
Dmoj	12	A1	30.05	31.13	1.08
Dmoj	12	A2	35.92	38.63	2.71
Dmoj	12	A3	43.03	45.63	2.6
Dmoj	12	A4	49.76	52.65	2.89
Dmoj	12	A5	56.76	59.65	2.89
Dmoj	12	A6	63.65	66.62	2.97
Dmoj	12	A7	70.75	73.7	2.95
Dmoj	12	A8	77.8	78.97	1.17
Dmoj	13	A1	31.92	33.09	1.17
Dmoj	13	A2	37.79	40.83	3.04
Dmoj	13	A3	45.09	47.95	2.86
Dmoj	13	A4	51.93	54.78	2.85
Dmoj	13	A5	58.79	61.45	2.66
Dmoj	13	A6	65.22	68.23	3.01
Dmoj	13	A7	72.61	75.7	3.09
Dmoj	13	A8	79.6	80.88	1.28
Dmoj	14	A1	30.68	31.56	0.88
Dmoj	14	A2	36.29	39.4	3.11
Dmoj	14	A3	43.69	46.62	2.93
Dmoj	14	A4	50.65	53.72	3.07
Dmoj	14	A5	57.58	60.8	3.22
Dmoj	14	A6	64.52	67.66	3.14
Dmoj	14	A7	71.64	74.99	3.35
Dmoj	14	A8	78.39	80.36	1.97
Dmoj	15	A1	31.94	33.02	1.08
Dmoj	15	A2	38.02	40.97	2.95
Dmoj	15	A3	45.38	48.24	2.86
Dmoj	15	A4	52.4	55.25	2.85
Dmoj	15	A5	59.22	62.06	2.84
Dmoj	15	A6	65.93	68.77	2.84
Dmoj	15	A7	72.88	75.5	2.62
Dmoj	15	A8	79.36	81	1.64
Dmoj	16	A1	31.54	32.8	1.26
Dmoj	16	A2	37.54	40.63	3.09
Dmoj	16	A3	44.71	47.57	2.86
Dmoj	16	A4	51.72	54.63	2.91
Dmoj	16	A5	58.59	61.67	3.08
Dmoj	16	A6	65.49	68.53	3.04
Dmoj	16	A7	72.38	75.49	3.11
Dmoj	16	A8	79.46	81.11	1.65
Dmoj	17	A1	30.72	31.87	1.15
Dmoj	17	A2	36.77	39.72	2.95
Dmoj	17	A3	43.82	46.39	2.57
Dmoj	17	A4	50.54	53.39	2.85
Dmoj	17	A5	57.27	60.09	2.82
Dmoj	17	A6	64.1	66.93	2.83
Dmoj	17	A7	70.81	73.78	2.97
Dmoj	17	A8	77.5	79.03	1.53
Dmoj	18	A1	29.75	31.39	1.64
Dmoj	18	A2	35.95	39.34	3.39
Dmoj	18	A3	43.3	46.08	2.78
Dmoj	18	A4	50.05	52.73	2.68
Dmoj	18	A5	56.73	59.63	2.9
Dmoj	18	A6	63.62	66.78	3.16
Dmoj	18	A7	71	73.89	2.89
Dmoj	18	A8	77.96	79.35	1.39
Dmoj	19	A1	30.16	31.84	1.68
Dmoj	19	A2	36.52	40.36	3.84
Dmoj	19	A3	43.79	46.76	2.97
Dmoj	19	A4	50.69	53.56	2.87
Dmoj	19	A5	57.54	60.77	3.23
Dmoj	19	A6	64.62	67.62	3
Dmoj	19	A7	71.79	74.67	2.88
Dmoj	19	A8	78.62	80.42	1.8
Dmoj	20	A1	29.68	30.96	1.28
Dmoj	20	A2	35.48	38.32	2.84
Dmoj	20	A3	42.62	45.48	2.86
Dmoj	20	A4	49.61	52.22	2.61
Dmoj	20	A5	56.29	59	2.71
Dmoj	20	A6	62.56	65.48	2.92
Dmoj	20	A7	69.43	72.67	3.24
Dmoj	20	A8	76.66	77.74	1.08
Dmoj	21	A1	30.91	32.46	1.55
Dmoj	21	A2	37.08	41.3	4.22
Dmoj	21	A3	44.59	47.95	3.36
Dmoj	21	A4	51.98	54.93	2.95
Dmoj	21	A5	58.76	62.07	3.31
Dmoj	21	A6	65.85	69.22	3.37
Dmoj	21	A7	73.02	76.37	3.35
Dmoj	21	A8	80.33	82.25	1.92
Dmoj	22	A1	32.97	34.14	1.17
Dmoj	22	A2	38.88	41.93	3.05
Dmoj	22	A3	46.36	49.36	3
Dmoj	22	A4	53.25	56.08	2.83
Dmoj	22	A5	59.98	62.95	2.97
Dmoj	22	A6	67.03	70.08	3.05
Dmoj	22	A7	74.17	77.42	3.25
Dmoj	22	A8	80.71	81.9	1.19
Dmoj	23	A1	29.88	30.94	1.06
Dmoj	23	A2	35.72	38.61	2.89
Dmoj	23	A3	42.74	45.63	2.89
Dmoj	23	A4	49.66	52.68	3.02
Dmoj	23	A5	56.51	59.7	3.19
Dmoj	23	A6	63.55	66.71	3.16
Dmoj	23	A7	70.56	73.84	3.28
Dmoj	23	A8	77.62	79.17	1.55
Dmoj	24	A1	31.7	33.01	1.31
Dmoj	24	A2	37.71	40.94	3.23
Dmoj	24	A3	45.21	48.43	3.22
Dmoj	24	A4	52.38	55.45	3.07
Dmoj	24	A5	59.48	62.53	3.05
Dmoj	24	A6	66.3	69.29	2.99
Dmoj	24	A7	72.93	75.57	2.64
Dmoj	24	A8	79.13	80.71	1.58
Dmoj	25	A1	30.97	32	1.03
Dmoj	25	A2	36.54	39.5	2.96
Dmoj	25	A3	43.72	46.56	2.84
Dmoj	25	A4	50.57	53.35	2.78
Dmoj	25	A5	57.11	59.93	2.82
Dmoj	25	A6	63.88	66.82	2.94
Dmoj	25	A7	70.7	73.72	3.02
Dmoj	25	A8	77.42	79.9	2.48
Dmoj	26	A1	32.03	33.24	1.21
Dmoj	26	A2	38.05	41.72	3.67
Dmoj	26	A3	45.82	49.16	3.34
Dmoj	26	A4	53.07	56.09	3.02
Dmoj	26	A5	59.93	63.04	3.11
Dmoj	26	A6	67	69.92	2.92
Dmoj	26	A7	73.67	76.42	2.75
Dmoj	26	A8	79.84	81.1	1.26
Dmoj	27	A1	30.87	31.82	0.95
Dmoj	27	A2	36.76	39.8	3.04
Dmoj	27	A3	44.06	46.86	2.8
Dmoj	27	A4	50.71	53.52	2.81
Dmoj	27	A5	57.65	60.34	2.69
Dmoj	27	A6	64.2	67.24	3.04
Dmoj	27	A7	71.23	74.49	3.26
Dmoj	27	A8	78.38	79.83	1.45
Dmoj	28	A1	30.7	31.9	1.2
Dmoj	28	A2	36.56	39.58	3.02
Dmoj	28	A3	43.87	46.64	2.77
Dmoj	28	A4	50.94	53.43	2.49
Dmoj	28	A5	57.34	60.3	2.96
Dmoj	28	A6	64.65	67.35	2.7
Dmoj	28	A7	71.65	74.42	2.77
Dmoj	28	A8	78.19	79.64	1.45
Dmoj	29	A1	32.42	33.59	1.17
Dmoj	29	A2	38.2	41.54	3.34
Dmoj	29	A3	45.86	48.87	3.01
Dmoj	29	A4	52.76	55.94	3.18
Dmoj	29	A5	59.74	62.88	3.14
Dmoj	29	A6	66.75	69.78	3.03
Dmoj	29	A7	73.51	76.39	2.88
Dmoj	29	A8	80.41	81.41	1
Dmoj	30	A1	31.18	32.25	1.07
Dmoj	30	A2	37.19	40.32	3.13
Dmoj	30	A3	44.5	47.42	2.92
Dmoj	30	A4	51.42	54.21	2.79
Dmoj	30	A5	58.09	60.93	2.84
Dmoj	30	A6	64.91	67.6	2.69
Dmoj	30	A7	71.69	74.4	2.71
Dmoj	30	A8	77.5	78.58	1.08
Dmoj	31	A1	30.9	32.53	1.63
Dmoj	31	A2	36.46	39.39	2.93
Dmoj	31	A3	43.47	46.39	2.92
Dmoj	31	A4	50.26	53.18	2.92
Dmoj	31	A5	57.12	59.89	2.77
Dmoj	31	A6	63.94	66.8	2.86
Dmoj	31	A7	70.77	73.88	3.11
Dmoj	31	A8	77	79.44	2.44
Dmoj	32	A1	30.79	32.08	1.29
Dmoj	32	A2	36.7	39.92	3.22
Dmoj	32	A3	44.16	47.16	3
Dmoj	32	A4	51.2	54.17	2.97
Dmoj	32	A5	58.1	61.31	3.21
Dmoj	32	A6	65.33	68.07	2.74
Dmoj	32	A7	72.18	75.21	3.03
Dmoj	32	A8	78.94	80.95	2.01
Dmoj	33	A1	31.66	32.89	1.23
Dmoj	33	A2	37.42	41.52	4.1
Dmoj	33	A3	44.64	47.67	3.03
Dmoj	33	A4	51.55	54.49	2.94
Dmoj	33	A5	58.53	61.39	2.86
Dmoj	33	A6	65.22	68.08	2.86
Dmoj	33	A7	72.04	75.36	3.32
Dmoj	33	A8	79.04	81.36	2.32
Dmoj	34	A1	31.05	32.07	1.02
Dmoj	34	A2	36.9	39.93	3.03
Dmoj	34	A3	44.42	47.02	2.6
Dmoj	34	A4	51.03	53.47	2.44
Dmoj	34	A5	57.75	60.69	2.94
Dmoj	34	A6	64.6	67.34	2.74
Dmoj	34	A7	71.77	74.72	2.95
Dmoj	34	A8	78.56	79.94	1.38
Dmoj	35	A1	30.93	32.07	1.14
Dmoj	35	A2	37.09	39.87	2.78
Dmoj	35	A3	43.88	46.84	2.96
Dmoj	35	A4	50.61	53.05	2.44
Dmoj	35	A5	57.18	59.89	2.71
Dmoj	35	A6	63.76	66.34	2.58
Dmoj	35	A7	70.55	73.44	2.89
Dmoj	35	A8	77.57	79.75	2.18
Dmoj	36	A1	30.58	31.86	1.28
Dmoj	36	A2	36.63	39.5	2.87
Dmoj	36	A3	43.91	46.6	2.69
Dmoj	36	A4	50.55	53.7	3.15
Dmoj	36	A5	57.51	60.62	3.11
Dmoj	36	A6	64.49	67.6	3.11
Dmoj	36	A7	71.52	74.78	3.26
Dmoj	36	A8	78.7	80.79	2.09
Dmoj	37	A1	31.29	32.7	1.41
Dmoj	37	A2	37.66	40.93	3.27
Dmoj	37	A3	45.27	48.11	2.84
Dmoj	37	A4	52.27	54.76	2.49
Dmoj	37	A5	58.8	61.53	2.73
Dmoj	37	A6	65.46	67.92	2.46
Dmoj	37	A7	72.03	74.79	2.76
Dmoj	37	A8	78.57	79.59	1.02
Dmoj	38	A1	31.06	32.47	1.41
Dmoj	38	A2	37.04	40.76	3.72
Dmoj	38	A3	44.5	47.43	2.93
Dmoj	38	A4	51.68	54.41	2.73
Dmoj	38	A5	58.33	61.1	2.77
Dmoj	38	A6	64.95	67.77	2.82
Dmoj	38	A7	72.07	74.67	2.6
Dmoj	38	A8	78.42	80.17	1.75
Dmoj	39	A1	30.64	31.64	1
Dmoj	39	A2	36.11	38.46	2.35
Dmoj	39	A3	42.98	45.77	2.79
Dmoj	39	A4	50.12	52.61	2.49
Dmoj	39	A5	57.15	59.73	2.58
Dmoj	39	A6	64.1	66.75	2.65
Dmoj	39	A7	71.34	74.45	3.11
Dmoj	39	A8	78.56	80.91	2.35
Dmoj	40	A1	31.92	33.06	1.14
Dmoj	40	A2	37.66	40.93	3.27
Dmoj	40	A3	45.13	47.99	2.86
Dmoj	40	A4	52.09	54.72	2.63
Dmoj	40	A5	58.67	61.52	2.85
Dmoj	40	A6	65.48	68.36	2.88
Dmoj	40	A7	72.14	75.08	2.94
Dmoj	40	A8	78.73	81.28	2.55
Dmoj	41	A1	31.29	32.46	1.17
Dmoj	41	A2	37.01	40.34	3.33
Dmoj	41	A3	44.25	47.06	2.81
Dmoj	41	A4	50.8	53.08	2.28
Dmoj	41	A5	57.03	59.84	2.81
Dmoj	41	A6	63.48	66.57	3.09
Dmoj	41	A7	70.36	73.41	3.05
Dmoj	41	A8	76.81	78.43	1.62
Dmoj	42	A1	32	32.91	0.91
Dmoj	42	A2	37.75	40.81	3.06
Dmoj	42	A3	45.06	47.97	2.91
Dmoj	42	A4	51.7	54.49	2.79
Dmoj	42	A5	58.43	61.29	2.86
Dmoj	42	A6	65.16	68.28	3.12
Dmoj	42	A7	72.42	74.7	2.28
Dmoj	42	A8	78.89	80.44	1.55
Dmoj	43	A1	31.44	32.35	0.91
Dmoj	43	A2	37.02	40.09	3.07
Dmoj	43	A3	44.28	47.15	2.87
Dmoj	43	A4	51.03	53.98	2.95
Dmoj	43	A5	58	61.22	3.22
Dmoj	43	A6	65.05	68.02	2.97
Dmoj	43	A7	71.83	75.02	3.19
Dmoj	43	A8	79.1	79.98	0.88
Dmoj	44	A1	32.23	33.27	1.04
Dmoj	44	A2	37.81	41.04	3.23
Dmoj	44	A3	45.11	48.09	2.98
Dmoj	44	A4	52.08	54.97	2.89
Dmoj	44	A5	58.86	61.78	2.92
Dmoj	44	A6	65.5	68.55	3.05
Dmoj	44	A7	72.48	75.66	3.18
Dmoj	44	A8	79.2	81.16	1.96
Dmoj	45	A1	29.75	30.95	1.2
Dmoj	45	A2	35.54	38.7	3.16
Dmoj	45	A3	42.97	45.88	2.91
Dmoj	45	A4	49.9	52.42	2.52
Dmoj	45	A5	56.47	59.19	2.72
Dmoj	45	A6	63.11	65.76	2.65
Dmoj	45	A7	69.83	73.15	3.32
Dmoj	45	A8	76.67	77.79	1.12
Dmoj	46	A1	31.61	32.88	1.27
Dmoj	46	A2	37.73	40.87	3.14
Dmoj	46	A3	45.26	48.17	2.91
Dmoj	46	A4	52.19	55.14	2.95
Dmoj	46	A5	59.17	62.16	2.99
Dmoj	46	A6	66.11	69.33	3.22
Dmoj	46	A7	73.26	76.45	3.19
Dmoj	46	A8	80.18	82.03	1.85
Dmoj	47	A1	31.92	33.09	1.17
Dmoj	47	A2	37.85	40.95	3.1
Dmoj	47	A3	45.09	48.06	2.97
Dmoj	47	A4	51.94	54.91	2.97
Dmoj	47	A5	58.63	61.91	3.28
Dmoj	47	A6	65.5	68.57	3.07
Dmoj	47	A7	72.68	75.91	3.23
Dmoj	47	A8	79.71	81.77	2.06
Dmoj	48	A1	32.02	33.13	1.11
Dmoj	48	A2	37.87	41.06	3.19
Dmoj	48	A3	44.93	48.02	3.09
Dmoj	48	A4	51.78	54.58	2.8
Dmoj	48	A5	58.21	61.13	2.92
Dmoj	48	A6	65.11	68.03	2.92
Dmoj	48	A7	72.19	74.97	2.78
Dmoj	48	A8	78.63	79.51	0.88
Dmoj	49	A1	30.09	31.3	1.21
Dmoj	49	A2	35.73	38.81	3.08
Dmoj	49	A3	43.2	45.71	2.51
Dmoj	49	A4	49.81	52.45	2.64
Dmoj	49	A5	56.47	59.36	2.89
Dmoj	49	A6	63.08	66.28	3.2
Dmoj	49	A7	70.39	73.01	2.62
Dmoj	49	A8	76.49	78.45	1.96
Dmoj	50	A1	32.09	33.51	1.42
Dmoj	50	A2	38.05	41.15	3.1
Dmoj	50	A3	45.26	48.03	2.77
Dmoj	50	A4	51.92	54.59	2.67
Dmoj	50	A5	58.52	61.29	2.77
Dmoj	50	A6	65.19	67.88	2.69
Dmoj	50	A7	71.67	74.32	2.65
Dmoj	50	A8	77.24	78.3	1.06
Dmoj	51	A1	30.66	32.2	1.54
Dmoj	51	A2	36.66	39.97	3.31
Dmoj	51	A3	43.8	46.7	2.9
Dmoj	51	A4	50.79	53.54	2.75
Dmoj	51	A5	57.35	59.99	2.64
Dmoj	51	A6	63.83	66.68	2.85
Dmoj	51	A7	70.66	73.88	3.22
Dmoj	51	A8	77.53	78.91	1.38
Dmoj	52	A1	33.15	34.79	1.64
Dmoj	52	A2	38.97	43.95	4.98
Dmoj	52	A3	46.84	50.54	3.7
Dmoj	52	A4	54.12	57.32	3.2
Dmoj	52	A5	60.94	64.23	3.29
Dmoj	52	A6	67.59	70.93	3.34
Dmoj	52	A7	74.59	77.71	3.12
Dmoj	52	A8	80.96	83.06	2.1
Dmoj	53	A1	31.38	32.49	1.11
Dmoj	53	A2	36.93	41.39	4.46
Dmoj	53	A3	44.05	46.99	2.94
Dmoj	53	A4	51.02	53.9	2.88
Dmoj	53	A5	57.94	60.87	2.93
Dmoj	53	A6	64.96	67.89	2.93
Dmoj	53	A7	71.73	74.89	3.16
Dmoj	53	A8	78.56	79.73	1.17
Dmoj	54	A1	30.33	31.52	1.19
Dmoj	54	A2	36.42	39.72	3.3
Dmoj	54	A3	44.55	47.03	2.48
Dmoj	54	A4	50.89	53.58	2.69
Dmoj	54	A5	57.41	60.37	2.96
Dmoj	54	A6	64.21	66.84	2.63
Dmoj	54	A7	70.65	73.37	2.72
Dmoj	54	A8	76.89	79.16	2.27
Dmoj	55	A1	33.22	34.58	1.36
Dmoj	55	A2	39.56	43.04	3.48
Dmoj	55	A3	47.25	50.34	3.09
Dmoj	55	A4	54.16	57.21	3.05
Dmoj	55	A5	60.92	63.86	2.94
Dmoj	55	A6	67.39	70.39	3
Dmoj	55	A7	74.09	77.12	3.03
Dmoj	55	A8	80.36	81.91	1.55
Dmoj	56	A1	32.36	33.57	1.21
Dmoj	56	A2	38.38	42.73	4.35
Dmoj	56	A3	45.64	48.58	2.94
Dmoj	56	A4	52.48	55.55	3.07
Dmoj	56	A5	59.38	62.14	2.76
Dmoj	56	A6	65.9	68.82	2.92
Dmoj	56	A7	72.47	75.68	3.21
Dmoj	56	A8	79.38	81.04	1.66
Dmoj	57	A1	30.55	31.74	1.19
Dmoj	57	A2	36.7	39.88	3.18
Dmoj	57	A3	44.54	47.74	3.2
Dmoj	57	A4	51.71	54.82	3.11
Dmoj	57	A5	58.95	62.11	3.16
Dmoj	57	A6	65.96	69.34	3.38
Dmoj	57	A7	73.4	76.42	3.02
Dmoj	57	A8	80.19	82.37	2.18
Dmoj	58	A1	33.06	34.49	1.43
Dmoj	58	A2	37.76	44.08	6.32
Dmoj	58	A3	46.59	49.67	3.08
Dmoj	58	A4	53.5	56.55	3.05
Dmoj	58	A5	60.23	63.12	2.89
Dmoj	58	A6	66.64	69.72	3.08
Dmoj	58	A7	73.24	76.34	3.1
Dmoj	58	A8	79.7	81.42	1.72
Dmoj	59	A1	30.87	32.32	1.45
Dmoj	59	A2	37.18	40.18	3
Dmoj	59	A3	44.67	47.46	2.79
Dmoj	59	A4	52.03	54.55	2.52
Dmoj	59	A5	58.41	61.32	2.91
Dmoj	59	A6	65.35	68.06	2.71
Dmoj	59	A7	72.44	74.94	2.5
Dmoj	59	A8	79.18	81.2	2.02
Dmoj	60	A1	31.65	33	1.35
Dmoj	60	A2	37.9	41.36	3.46
Dmoj	60	A3	45.57	48.78	3.21
Dmoj	60	A4	52.86	56.12	3.26
Dmoj	60	A5	59.93	63.21	3.28
Dmoj	60	A6	66.88	70.14	3.26
Dmoj	60	A7	74.03	77.36	3.33
Dmoj	60	A8	80.87	82.61	1.74
Dmoj	61	A1	31.87	33.28	1.41
Dmoj	61	A2	37.98	41.63	3.65
Dmoj	61	A3	45.66	48.79	3.13
Dmoj	61	A4	52.67	56.03	3.36
Dmoj	61	A5	59.74	62.91	3.17
Dmoj	61	A6	66.58	69.64	3.06
Dmoj	61	A7	73.54	76.6	3.06
Dmoj	61	A8	80.1	81.61	1.51
Dmoj	62	A1	30.66	31.71	1.05
Dmoj	62	A2	36.46	39.53	3.07
Dmoj	62	A3	43.78	46.84	3.06
Dmoj	62	A4	50.67	53.57	2.9
Dmoj	62	A5	57.55	60.57	3.02
Dmoj	62	A6	64.49	67.48	2.99
Dmoj	62	A7	71.22	74.33	3.11
Dmoj	62	A8	77.79	80.07	2.28
Dmoj	63	A1	31.02	32.05	1.03
Dmoj	63	A2	36.75	39.79	3.04
Dmoj	63	A3	43.92	47.02	3.1
Dmoj	63	A4	51.03	53.98	2.95
Dmoj	63	A5	57.67	60.78	3.11
Dmoj	63	A6	64.79	67.27	2.48
Dmoj	63	A7	71.39	74.46	3.07
Dmoj	63	A8	78.34	80.25	1.91
Dmoj	64	A1	30.29	31.61	1.32
Dmoj	64	A2	36.83	39.92	3.09
Dmoj	64	A3	44.43	47.41	2.98
Dmoj	64	A4	51.51	54.34	2.83
Dmoj	64	A5	58.47	61.44	2.97
Dmoj	64	A6	65.67	68.6	2.93
Dmoj	64	A7	72.78	75.55	2.77
Dmoj	64	A8	79.68	81.78	2.1
Dmoj	65	A1	31.44	32.47	1.03
Dmoj	65	A2	37.48	40.61	3.13
Dmoj	65	A3	44.99	48.25	3.26
Dmoj	65	A4	52.2	55.31	3.11
Dmoj	65	A5	59.4	62.52	3.12
Dmoj	65	A6	66.34	69.56	3.22
Dmoj	65	A7	73.35	76.91	3.56
Dmoj	65	A8	80.59	82.72	2.13
Dmoj	66	A1	31.58	32.9	1.32
Dmoj	66	A2	37.54	40.85	3.31
Dmoj	66	A3	44.92	47.82	2.9
Dmoj	66	A4	51.76	54.84	3.08
Dmoj	66	A5	58.82	62.02	3.2
Dmoj	66	A6	65.82	68.9	3.08
Dmoj	66	A7	72.8	76.07	3.27
Dmoj	66	A8	79.54	81.81	2.27
Dmoj	67	A1	30.14	31.38	1.24
